,Username,Followers,Following,Repositories,DateCreated,UpdatedDate,,YearCreated,Users
103,mperham,1601,14,88,3/12/2008,11/29/2017,,,
104,fnando,1438,11,177,3/13/2008,11/24/2017,,,
105,tenderlove,6339,20,250,3/14/2008,11/18/2017,,,
106,nowa,102,13,67,3/25/2008,12/13/2017,,,
107,kaichen,173,267,42,3/28/2008,11/25/2017,,,
108,jlong,258,9,69,3/31/2008,12/4/2017,,,
109,al3x,1032,54,49,2/7/2008,12/1/2017,,,
110,jchris,567,39,134,2/13/2008,12/3/2017,,,
111,gnosek,70,1,45,3/22/2008,11/29/2017,,,
112,janl,1403,121,163,5/23/2008,11/27/2017,,,
113,dcramer,1758,8,156,9/8/2008,11/29/2017,,,
114,dazuiba,82,47,84,11/8/2008,9/20/2017,,,
115,jverkoey,1364,6,46,1/11/2009,11/21/2017,,,
116,finiteloop,619,1,7,2/27/2009,12/1/2017,,,
117,codylindley,740,147,82,8/14/2009,11/29/2017,,,
118,jeffkaufman,173,3,47,5/2/2010,11/10/2017,,,
119,alanhamlett,4146,54,63,12/14/2010,10/3/2017,,,
120,madeye,2716,23,30,2/20/2011,12/4/2017,,,
121,clowwindy,10753,36,51,9/23/2011,8/14/2017,,,
122,codahale,1576,0,93,2/13/2008,9/5/2017,,,
123,auser,789,171,292,2/20/2008,12/7/2017,,,
124,michaelmelanson,18,7,23,2/27/2008,12/9/2017,,,
125,rubbish,60,18,86,2/28/2008,11/22/2017,,,
126,seancribbs,307,0,104,2/29/2008,11/26/2017,,,
127,dustin,892,19,230,2/29/2008,12/1/2017,,,
128,tim,84,65,18,3/11/2008,11/23/2017,,,
129,archaelus,173,33,88,3/22/2008,10/16/2017,,,
130,hntrmrrs,89,40,5,4/1/2008,12/9/2017,,,
131,moonpolysoft,262,3,64,4/2/2008,8/23/2017,,,
132,JonGretar,65,55,42,4/4/2008,12/3/2017,,,
133,etnt,116,40,55,4/8/2008,12/5/2017,,,
134,keymone,36,14,58,4/13/2008,12/12/2017,,,
135,kuenishi,129,61,55,5/25/2008,11/6/2017,,,
136,filippo,13,12,10,5/25/2008,12/4/2017,,,
137,emqplus,234,16,3,5/29/2008,11/29/2017,,,
138,yariv,106,2,9,5/31/2008,11/28/2017,,,
139,ngerakines,274,78,141,5/31/2008,12/12/2017,,,
140,kevsmith,163,3,83,6/13/2008,11/29/2017,,,
141,Arbow,5,3,7,6/17/2008,10/16/2017,,,
142,kocolosk,62,0,22,7/10/2008,11/28/2017,,,
143,raycmorgan,93,18,51,10/7/2008,10/15/2017,,,
144,rustyio,172,3,10,10/14/2008,10/16/2017,,,
145,RJ,434,23,93,10/18/2008,11/20/2017,,,
146,videlalvaro,740,60,84,10/24/2008,10/28/2017,,,
147,daleharvey,378,1,88,12/2/2008,12/9/2017,,,
148,agladysh,125,444,61,12/4/2008,12/4/2017,,,
149,abecciu,113,418,30,12/7/2008,8/14/2017,,,
150,x6j8x,20,6,16,12/9/2008,12/5/2017,,,
151,jamesgolick,586,30,110,1/19/2008,8/14/2017,,,
152,stevedekorte,567,14,12,2/3/2008,9/13/2017,,,
153,atduskgreg,535,39,223,2/8/2008,9/5/2017,,,
154,ELLIOTTCABLE,326,713,144,2/13/2008,12/12/2017,,,
155,evan,169,0,56,2/13/2008,9/13/2017,,,
156,tpope,9338,21,86,2/18/2008,8/14/2017,,,
157,kangax,2468,16,73,2/18/2008,12/6/2017,,,
158,voodootikigod,586,100,122,2/19/2008,12/12/2017,,,
159,judofyr,301,53,145,2/20/2008,11/10/2017,,,
160,mikeal,3403,21,308,2/21/2008,11/18/2017,,,
161,progrium,2906,28,192,2/22/2008,12/10/2017,,,
