,Username,Followers,Following,Repositories,DateCreated,UpdatedDate,,YearCreated,Users
450,iwillwen,575,62,92,4/15/2011,11/16/2017,,,
451,matthew-andrews,306,42,138,6/2/2011,12/5/2017,,,
452,masakichi,28,71,33,7/18/2012,11/26/2017,,,
453,varstr,7,5,14,9/21/2012,10/25/2017,,,
454,Anthonyeef,47,193,96,2/1/2013,12/10/2017,,,
455,onestarshang,73,135,97,10/28/2013,11/21/2017,,,
456,greenisus,97,27,33,7/24/2008,8/23/2017,,,
457,soffes,3846,310,146,2/8/2009,12/14/2017,,,
458,thinkdevcode,6,2,37,1/13/2011,12/10/2017,,,
459,Marionumber1,27,2,6,5/8/2011,9/28/2017,,,
460,jesseXu,32,23,16,7/1/2011,12/10/2017,,,
461,rhyzx,54,50,44,4/25/2012,11/15/2017,,,
462,traintrackcn,2,1,28,10/25/2012,11/14/2017,,,
